,study,Citation,n_1,n_2,mean_age_1,mean_age_2,domain,Miyake,stask,Task Description,DV,Log transformed?,g,var.g,se.g
433,,,,,,,processing speed,no,Boxes Test,Participants had to complete as many boxes as possible by filling in the missing side,Number of completed boxes,no,1.559742622,0.425766049,0.652507509
434,,,,,,,processing speed,no,Processing Speed Task,Participants need to produce as many four syllable words in 12s,Number of words,no,0.866992544,0.274017569,0.523466875
435,,,,,,,shifting,yes,WCST,Participants must sort cards based on rules learned while completing the task.,Number of categories,no,1.179294383,0.041350047,0.20334711
436,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter in one minute.,Number of words produced,no,0.160087858,0.30487589,0.552155676
437,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible not containing various letters letter in one minute (Excluded Letter Fluency Test).,Number of words produced,no,0.565622188,0.179665258,0.423869388
438,,,,,,,inhibition,yes,Stroop,"Participants completed two tasks, in which participants either read printed words or named the color of stimuli.",Interference score,no,1.265160886,0.034786753,0.186512073
439,,,,,,,updating,no,Self Ordered Pointing Task,Participants were required to individually point at sixteen random patterns without repeating.,Number of errors,no,1.357714961,0.036082792,0.189954711
440,"Little, 2014","Little, C. E., & Woollacott, M. (2014). Effect of attentional interference on balance recovery in older adults. Experimental brain research, 232(7), 2049-2060.",34,34,20.6,71.8,processing speed,no,Trail Making Test,Participants complete Trail A which entails connecting numbered or lettered circles in ascending order.,RT in seconds,no,1.563103026,0.34493521,0.587311851
441,,,,,,,shifting,no,Trail Making Test,"Participants complete Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT for Trail B in seconds,no,1.119848863,1.871992128,1.368207634
442,"Bryan, 2002","Bryan, J., Calvaresi, E., & Hughes, D. (2002). Short-term folate, vitamin B-12 or vitamin B-6 supplementation slightly affects memory performance but not mood in women of various ages. The Journal of nutrition, 132(6), 1345-1356.",56,75,25.2,74.08,processing speed,no,Boxes Test,Participants had to complete as many boxes as possible by filling in the missing side,Number of completed boxes,no,1.882532617,0.48383088,0.695579528
443,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,2.26773514,0.684239017,0.827187413
444,,,,,,,processing speed,no,Symbol Search Task,Participants are to determine whether a set of five symbols includes one of two target exemplars,number of correct responses,no,1.997633504,0.103021262,0.320969254
445,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud in reverse order.,Largest string of numbers correctly recalled,no,0.044775379,0.049426358,0.222320395
446,,,,,,,updating,no,Letter Number Sequencing Task,Participants heard a series of letters and numbers then were asked to repeat the sequence back in the order presented to them.,Number of correct responses,no,0.882947174,0.057016728,0.238781758
447,,,,,,,inhibition,yes,Stroop,"Participants completed two tasks, in which participants either read printed words or named the color of stimuli.",Interference score,no,0.565078557,0.031679405,0.177987092
448,,,,,,,updating,no,Verbal Fluency,Participants generated nonstandard uses for a given object.,Number of uses generated,no,0.595817064,0.168466959,0.410447267
449,,,,,,,processing speed,no,Trail Making Test,Participants complete Trail A which entails connecting numbered or lettered circles in ascending order.,RT in seconds,no,1.430323439,0.463065774,0.680489364
450,,,,,,,shifting,no,Trail Making Test,"Participants complete Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT for Trail B in seconds,no,1.427180092,3.943197658,1.985748639
451,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter.,Number of words produced,no,0.059580843,0.225038896,0.474382647
452,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible not containing various letters letter (Excluded Letter Fluency Test).,Number of words produced,no,0.409697153,0.215078669,0.463765748
453,"Ford, 2014","Ford, J. H., Rubin, D. C., & Giovanello, K. S. (2014). Effects of task instruction on autobiographical memory specificity in young and older adults. Memory, 22(6), 722-736.",25,21,18.7,75.6,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,Interference score,no,0.569802547,0.084893767,0.29136535
454,,,,,,,shifting,yes,Number Letter Sequencing Task,"Based on location of the stimuli, participants responded to either the letter (consonant or vowel) or the number (even or odd)",RT for nonswitch trials minus RT for switch condition,no,0,0.085637174,0.292638298
455,,,,,,,updating,no,n-back,Participants were presented with a sequence of stimuli and were asked whether each stimulus matched the stimulus that occurred two items before.,Percent correct,no,0.346889584,0.093272313,0.305405162
456,,,,,,,updating,no,Updating Task,Memory updating task in conjunction with music cues.,Percent correct,no,0.211869902,0.08520562,0.291900017
457,"Fortin, 2014","Fortin, A., & Caza, N. (2014). A Validation Study of Memory and Executive Functions Indexes in French-Speaking Healthy Young and Older Adults. Canadian Journal on Aging/La Revue canadienne du vieillissement, 33(1), 60-71.",32,66,25.03,68.61,processing speed,no,Mental Arithmetic,Participants completed addition and subtraction problems,Number of correct responses,no,0.104312862,0.086570543,0.294228725
458,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud in reverse order.,Largest string of numbers correctly recalled,no,0.856167321,0.074022262,0.272070325
459,,,,,,,shifting,yes,WCST,Participants must sort cards based on rules learned while completing the task.,Number of categories,no,0.892712719,0.054169866,0.232744207
460,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter.,Number of words produced,no,-0.169617964,0.659528686,0.812113715
461,"Hedden, 2012","Hedden, T., Van Dijk, K. R., Shire, E. H., Sperling, R. A., Johnson, K. A., & Buckner, R. L. (2011). Failure to modulate attentional control in advanced aging linked to white matter pathology. Cerebral Cortex, 22(5), 1038-1051.",51,62,21.7,73.2,processing speed,no,Pattern Comparison Task,Determine whether patterns of stimuli were the same or different.,Number of correct responses,no,2.908739116,0.069476504,0.26358396
462,,,,,,,processing speed,no,Number Matching,Determine whether pairs of numbers were the same or different.,Number of correct responses,no,1.671324637,0.063758286,0.252504031
463,,,,,,,updating,no,Updating Task,Participants heard a series of letters and numbers then are asked to repeat numbers back in ascending alphanumeric order.,Number of items correctly reordered,no,1.39551364,0.063911062,0.252806373
464,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter.,Average number of words produced,no,-0.09539416,0.110966327,0.333116087
465,"Holland, 2012","Holland, C. A., Ridout, N., Walford, E., & Geraghty, J. (2012). Executive function and emotional focus in autobiographical memory specificity in older adults. Memory, 20(8), 779-793.",25,21,21.6,69.52,inhibition,yes,Verbal Fluency,Participants were asked to generate a random series of numbers in the range from one to nine in one minute (Random Number Generation).,Number of times a certain pair or triplet of numbers occurred,no,0,0.084726816,0.291078711
466,"Gamble, 2014","Gamble, K. R., Howard Jr, J. H., & Howard, D. V. (2014). Not just scenery: viewing nature pictures improves executive attention in older adults. Experimental aging research, 40(5), 513-530.",26,30,20.54,69.1,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,2.558745408,1.071167871,1.034972401
467,,,,,,,shifting,no,Attention Network Task,Participants responded to direction of central arrow by pressing the key that corresponded to the direction with varying cue conditions.,RT on incongruent trials minus RT on congruent trials in milliseconds,no,0.550155133,11.81218053,3.436885295
